uuid	gene_curie	gene_symbol	disease_curie	disease_title	disease_original_curie	disease_original_title	classification_curie	classification_title	moi_curie	moi_title	submitter_curie	submitter_title	submitted_as_hgnc_id	submitted_as_hgnc_symbol	submitted_as_disease_id	submitted_as_disease_name	submitted_as_moi_id	submitted_as_moi_name	submitted_as_submitter_id	submitted_as_submitter_name	submitted_as_classification_id	submitted_as_classification_name	submitted_as_date	submitted_as_public_report_url	submitted_as_notes	submitted_as_pmids	submitted_as_assertion_criteria_url	submitted_as_submission_id	submitted_run_date
GENCC_000112-HGNC_11474-OMIM_256000-HP_0000007-GENCC_100001	HGNC:11474	SURF1	MONDO:0009723	Leigh syndrome	OMIM:256000	OMIM:256000	GENCC:100001	Definitive	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:11474	SURF1	OMIM:256000	LEIGH SYNDROME	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:35	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	512	2020-11-25
GENCC_000112-HGNC_4586-OMIM_209850-HP_0000006-GENCC_100001	HGNC:4586	GRIN2B	MONDO:0020643	autism susceptibility 1	OMIM:209850	{Autism susceptibility 1}	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:4586	GRIN2B	OMIM:209850	AUTISM	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:35	-	-	23160955	https://www.ebi.ac.uk/gene2phenotype/terminology	513	2020-11-25
GENCC_000112-HGNC_13723-OMIM_616579-HP_0000006-GENCC_100001	HGNC:13723	CTCF	MONDO:0014699	intellectual disability, autosomal dominant 40	OMIM:616579	Neurodevelopmental disorder with hypotonia, impaired language, and dysmorphic features	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:13723	CTCF	OMIM:616579	INTELLECTUAL DISABILITY	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:35	-	-	23746550	https://www.ebi.ac.uk/gene2phenotype/terminology	515	2020-11-25
GENCC_000112-HGNC_20342-OMIM_300577-HP_0001423-GENCC_100004	HGNC:20342	ZDHHC15	MONDO:0010363	intellectual disability, X-linked 91	OMIM:300577	Intellectual developmental disorder, X-linked 91	GENCC:100004	Limited	HP:0001423	X-linked dominant	GENCC:000112	TGMI|G2P	HGNC:20342	ZDHHC15	OMIM:300577	MENTAL RETARDATION X-LINKED TYPE 91	HP:0001423	X-linked dominant inheritance	GENCC:000112	-	GENCC:100004	Limited	2015-07-22 16:14:35	-	-	15915161	https://www.ebi.ac.uk/gene2phenotype/terminology	520	2020-11-25
GENCC_000112-HGNC_11528-OMIM_146110-HP_0000007-GENCC_100002	HGNC:11528	TACR3	MONDO:0007794	hypogonadotropic hypogonadism 7 with or without anosmia	OMIM:146110	Hypogonadotropic hypogonadism 7 without anosmia	GENCC:100002	Strong	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:11528	TACR3	OMIM:146110	HYPOGONADOTROPIC HYPOGONADISM	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100002	Strong	2015-07-22 16:14:35	-	-	19079066	https://www.ebi.ac.uk/gene2phenotype/terminology	523	2020-11-25
GENCC_000112-HGNC_25839-OMIM_119300-HP_0000006-GENCC_100001	HGNC:25839	GRHL3	MONDO:0007333	van der Woude syndrome 1	OMIM:119300	van der Woude syndrome 1	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:25839	GRHL3	OMIM:119300	VAN DER WOUDE SYNDROME	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:36	-	-	24360809	https://www.ebi.ac.uk/gene2phenotype/terminology	532	2020-11-25
GENCC_000112-HGNC_7716-OMIM_252010-HP_0000007-GENCC_100001	HGNC:7716	NDUFV1	MONDO:0009640	mitochondrial complex I deficiency, nuclear type	OMIM:252010	Mitochondrial complex I deficiency, nuclear type 1	GENCC:100001	Definitive	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:7716	NDUFV1	OMIM:252010	MITOCHONDRIAL COMPLEX I DEFICIENCY	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:36	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	543	2020-11-25
GENCC_000112-HGNC_23406-OMIM_612379-HP_0000007-GENCC_100001	HGNC:23406	DOLK	MONDO:0012885	SRD5A3-congenital disorder of glycosylation	OMIM:612379	Congenital disorder of glycosylation, type Iq	GENCC:100001	Definitive	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:23406	DOLK	OMIM:612379	CONGENITAL DISORDERS OF GLYCOSYLATION	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:36	-	-	17273964, 22242004	https://www.ebi.ac.uk/gene2phenotype/terminology	544	2020-11-25
GENCC_000112-HGNC_11051-OMIM_149400-HP_0000007-GENCC_100001	HGNC:11051	SLC6A5	MONDO:0007868	hyperekplexia 1	OMIM:149400	Hyperekplexia 1	GENCC:100001	Definitive	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:11051	SLC6A5	OMIM:149400	HYPEREKPLEXIA	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:37	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	547	2020-11-25
GENCC_000112-HGNC_29298-OMIM_604321-HP_0000007-GENCC_100001	HGNC:29298	CEP152	MONDO:0011437	microcephaly 4, primary, autosomal recessive	OMIM:604321	Microcephaly 4, primary, autosomal recessive	GENCC:100001	Definitive	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:29298	CEP152	OMIM:604321	CEP152-related Developmental Disorder	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:37	-	-	21131973	https://www.ebi.ac.uk/gene2phenotype/terminology	549	2020-11-25
GENCC_000112-HGNC_7216-OMIM_612379-HP_0000007-GENCC_100001	HGNC:7216	MPI	MONDO:0012885	SRD5A3-congenital disorder of glycosylation	OMIM:612379	Congenital disorder of glycosylation, type Iq	GENCC:100001	Definitive	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:7216	MPI	OMIM:612379	CONGENITAL DISORDERS OF GLYCOSYLATION	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:37	-	-	9525984, 3080572, 9585601	https://www.ebi.ac.uk/gene2phenotype/terminology	560	2020-11-25
GENCC_000112-HGNC_8009-OMIM_209850-HP_0000006-GENCC_100002	HGNC:8009	NRXN2	MONDO:0020643	autism susceptibility 1	OMIM:209850	{Autism susceptibility 1}	GENCC:100002	Strong	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:8009	NRXN2	OMIM:209850	AUTISM	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100002	Strong	2015-07-22 16:14:38	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	568	2020-11-25
GENCC_000112-HGNC_9115-OMIM_612379-HP_0000007-GENCC_100001	HGNC:9115	PMM2	MONDO:0012885	SRD5A3-congenital disorder of glycosylation	OMIM:612379	Congenital disorder of glycosylation, type Iq	GENCC:100001	Definitive	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:9115	PMM2	OMIM:612379	CONGENITAL DISORDERS OF GLYCOSYLATION	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:38	-	-	11916319, 17307006, 9781039, 9887379, 9497260, 10922383, 21937992, 10602363, 10527672, 19235233, 9140401	https://www.ebi.ac.uk/gene2phenotype/terminology	570	2020-11-25
GENCC_000112-HGNC_9713-OMIM_214100-HP_0000007-GENCC_100001	HGNC:9713	PEX19	MONDO:0008953	peroxisome biogenesis disorder 1A (Zellweger)	OMIM:214100	Peroxisome biogenesis disorder 1A (Zellweger)	GENCC:100001	Definitive	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:9713	PEX19	OMIM:214100	ZELLWEGER SYNDROME	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:39	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	574	2020-11-25
GENCC_000112-HGNC_4274-OMIM_241550-HP_0000006-GENCC_100001	HGNC:4274	GJA1	MONDO:0009433	hypoplastic left heart syndrome 1	OMIM:241550	OMIM:241550	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:4274	GJA1	OMIM:241550	HYPOPLASTIC LEFT HEART SYNDROME	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:42	-	-	11470490	https://www.ebi.ac.uk/gene2phenotype/terminology	620	2020-11-25
GENCC_000112-HGNC_685-OMIM_300436-HP_0001419-GENCC_100004	HGNC:685	ARHGEF6	MONDO:0010326	intellectual disability, X-linked 46	OMIM:300436	Intellectual developmental disorder, X-linked 46	GENCC:100004	Limited	HP:0001419	X-linked recessive	GENCC:000112	TGMI|G2P	HGNC:685	ARHGEF6	OMIM:300436	MENTAL RETARDATION X-LINKED TYPE 46	HP:0001419	X-linked recessive inheritance	GENCC:000112	-	GENCC:100004	Limited	2015-07-22 16:14:42	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	627	2020-11-25
GENCC_000112-HGNC_13221-OMIM_616579-HP_0000006-GENCC_100001	HGNC:13221	BCL11A	MONDO:0014699	intellectual disability, autosomal dominant 40	OMIM:616579	Neurodevelopmental disorder with hypotonia, impaired language, and dysmorphic features	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:13221	BCL11A	OMIM:616579	INTELLECTUAL DISABILITY	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:42	-	-	25533962, 27453576	https://www.ebi.ac.uk/gene2phenotype/terminology	628	2020-11-25
GENCC_000112-HGNC_3800-OMIM_604229-HP_0000006-GENCC_100001	HGNC:3800	FOXC1	MONDO:0011414	Peters anomaly	OMIM:604229	Anterior segment dysgenesis 5, multiple subtypes	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:3800	FOXC1	OMIM:604229	PETERS ANOMALY	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:42	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	632	2020-11-25
GENCC_000112-HGNC_7428-OMIM_616579-HP_0000006-GENCC_100004	HGNC:7428	MTF1	MONDO:0014699	intellectual disability, autosomal dominant 40	OMIM:616579	Neurodevelopmental disorder with hypotonia, impaired language, and dysmorphic features	GENCC:100004	Limited	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:7428	MTF1	OMIM:616579	INTELLECTUAL DISABILITY	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100004	Limited	2015-07-22 16:14:42	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	637	2020-11-25
GENCC_000112-HGNC_8010-OMIM_209850-HP_0000006-GENCC_100004	HGNC:8010	NRXN3	MONDO:0020643	autism susceptibility 1	OMIM:209850	{Autism susceptibility 1}	GENCC:100004	Limited	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:8010	NRXN3	OMIM:209850	AUTISM	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100004	Limited	2015-07-22 16:14:43	-	-	22209245	https://www.ebi.ac.uk/gene2phenotype/terminology	642	2020-11-25
GENCC_000112-HGNC_20859-OMIM_601668-HP_0000007-GENCC_100001	HGNC:20859	SLC39A13	MONDO:0011124	spondyloepimetaphyseal dysplasia-abnormal dentition syndrome	OMIM:601668	OMIM:601668	GENCC:100001	Definitive	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:20859	SLC39A13	OMIM:601668	SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH ABNORMAL DENTITION	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:43	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	646	2020-11-25
GENCC_000112-HGNC_4208-OMIM_605899-HP_0000007-GENCC_100004	HGNC:4208	GCSH	MONDO:0011612	glycine encephalopathy	OMIM:605899	Glycine encephalopathy1	GENCC:100004	Limited	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:4208	GCSH	OMIM:605899	GLYCINE ENCEPHALOPATHY	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100004	Limited	2015-07-22 16:14:43	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	656	2020-11-25
GENCC_000112-HGNC_23564-OMIM_614326-HP_0000006-GENCC_100002	HGNC:23564	MIR17HG	MONDO:0013691	Feingold syndrome type 2	OMIM:614326	Feingold syndrome 2	GENCC:100002	Strong	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:23564	MIR17HG	OMIM:614326	FEINGOLD SYNDROME	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100002	Strong	2015-07-22 16:14:44	-	-	21892160	https://www.ebi.ac.uk/gene2phenotype/terminology	667	2020-11-25
GENCC_000112-HGNC_12930-OMIM_612447-HP_0000007-GENCC_100004	HGNC:12930	ZBTB16	MONDO:0012909	skeletal defects, genital hypoplasia, and intellectual disability	OMIM:612447	OMIM:612447	GENCC:100004	Limited	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:12930	ZBTB16	OMIM:612447	SKELETAL DEFECTS GENITAL HYPOPLASIA AND MENTAL RETARDATION	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100004	Limited	2015-07-22 16:14:44	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	669	2020-11-25
GENCC_000112-HGNC_6840-OMIM_115150-HP_0000006-GENCC_100001	HGNC:6840	MAP2K1	MONDO:0007265	cardiofaciocutaneous syndrome 1	OMIM:115150	Cardiofaciocutaneous syndrome	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:6840	MAP2K1	OMIM:115150	CARDIOFACIOCUTANEOUS SYNDROME	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:44	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	672	2020-11-25
GENCC_000112-HGNC_8008-OMIM_209850-HP_0000006-GENCC_100002	HGNC:8008	NRXN1	MONDO:0020643	autism susceptibility 1	OMIM:209850	{Autism susceptibility 1}	GENCC:100002	Strong	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:8008	NRXN1	OMIM:209850	AUTISM	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100002	Strong	2015-07-22 16:14:44	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	675	2020-11-25
GENCC_000112-HGNC_11199-OMIM_300833-HP_0001423-GENCC_100001	HGNC:11199	SOX3	MONDO:0010442	46,XX sex reversal 3	OMIM:300833	46XX sex reversal 3	GENCC:100001	Definitive	HP:0001423	X-linked dominant	GENCC:000112	TGMI|G2P	HGNC:11199	SOX3	OMIM:300833	SEX REVERSAL TYPE 3	HP:0001423	X-linked dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:44	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	677	2020-11-25
GENCC_000112-HGNC_18801-OMIM_616579-HP_0000006-GENCC_100001	HGNC:18801	POGZ	MONDO:0014699	intellectual disability, autosomal dominant 40	OMIM:616579	Neurodevelopmental disorder with hypotonia, impaired language, and dysmorphic features	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:18801	POGZ	OMIM:616579	INTELLECTUAL DISABILITY	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:46	-	-	31136090, 26763879, 27148570, 26942287, 31347273, 25533962, 28480548, 31782611, 32103003, 30879264, 27103995, 25694107, 26739615	https://www.ebi.ac.uk/gene2phenotype/terminology	711	2020-11-25
GENCC_000112-HGNC_20766-OMIM_616579-HP_0000006-GENCC_100001	HGNC:20766	TUBA1A	MONDO:0014699	intellectual disability, autosomal dominant 40	OMIM:616579	Neurodevelopmental disorder with hypotonia, impaired language, and dysmorphic features	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:20766	TUBA1A	OMIM:616579	INTELLECTUAL DISABILITY	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:46	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	714	2020-11-25
GENCC_000112-HGNC_10848-OMIM_174500-HP_0000006-GENCC_100001	HGNC:10848	SHH	MONDO:0008270	polydactyly of a triphalangeal thumb	OMIM:174500	Polydactyly, preaxial type II	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:10848	SHH	OMIM:174500	TRIPHALANGEAL THUMB-POLYSYNDACTYLY SYNDROME	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:47	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	732	2020-11-25
GENCC_000112-HGNC_26006-OMIM_124000-HP_0000007-GENCC_100001	HGNC:26006	TTC19	MONDO:0007415	mitochondrial complex III deficiency nuclear type 1	OMIM:124000	Mitochondrial complex III deficiency, nuclear type 1	GENCC:100001	Definitive	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:26006	TTC19	OMIM:124000	MITOCHONDRIAL COMPLEX III DEFICIENCY	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:47	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	737	2020-11-25
GENCC_000112-HGNC_11190-OMIM_601706-HP_0000006-GENCC_100001	HGNC:11190	SOX10	MONDO:0011133	deaf blind hypopigmentation syndrome, Yemenite type	OMIM:601706	OMIM:601706	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:11190	SOX10	OMIM:601706	YEMENITE DEAF-BLIND HYPOPIGMENTATION SYNDROME	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:47	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	738	2020-11-25
GENCC_000112-HGNC_9701-OMIM_616579-HP_0000006-GENCC_100001	HGNC:9701	PURA	MONDO:0014699	intellectual disability, autosomal dominant 40	OMIM:616579	Neurodevelopmental disorder with hypotonia, impaired language, and dysmorphic features	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:9701	PURA	OMIM:616579	INTELLECTUAL DISABILITY	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:47	-	-	32089526, 25439098, 29150892, 29097605, 25342064, 27148565, 29307761, 31911028	https://www.ebi.ac.uk/gene2phenotype/terminology	739	2020-11-25
GENCC_000112-HGNC_6407-OMIM_115150-HP_0000006-GENCC_100001	HGNC:6407	KRAS	MONDO:0007265	cardiofaciocutaneous syndrome 1	OMIM:115150	Cardiofaciocutaneous syndrome	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:6407	KRAS	OMIM:115150	CARDIOFACIOCUTANEOUS SYNDROME	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:49	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	766	2020-11-25
GENCC_000112-HGNC_1404-OMIM_611136-HP_0000006-GENCC_100004	HGNC:1404	CACNB4	MONDO:0012627	epilepsy, idiopathic generalized, susceptibility to, 13	OMIM:611136	{Epilepsy, childhood absence, susceptibility to, 4}	GENCC:100004	Limited	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:1404	CACNB4	OMIM:611136	JUVENILE MYOCLONIC EPILEPSY	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100004	Limited	2015-07-22 16:14:49	-	-	10762541	https://www.ebi.ac.uk/gene2phenotype/terminology	767	2020-11-25
GENCC_000112-HGNC_17944-OMIM_607596-HP_0000007-GENCC_100001	HGNC:17944	EXOSC3	MONDO:0011866	pontocerebellar hypoplasia type 1A	OMIM:607596	Pontocerebellar hypoplasia type 1A	GENCC:100001	Definitive	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:17944	EXOSC3	OMIM:607596	PONTOCEREBELLAR HYPOPLASIA TYPE 1	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:49	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	777	2020-11-25
GENCC_000112-HGNC_11021-OMIM_612379-HP_0000007-GENCC_100002	HGNC:11021	SLC35A1	MONDO:0012885	SRD5A3-congenital disorder of glycosylation	OMIM:612379	Congenital disorder of glycosylation, type Iq	GENCC:100002	Strong	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:11021	SLC35A1	OMIM:612379	CONGENITAL DISORDERS OF GLYCOSYLATION	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100002	Strong	2015-07-22 16:14:49	-	-	15576474	https://www.ebi.ac.uk/gene2phenotype/terminology	783	2020-11-25
GENCC_000112-HGNC_12856-OMIM_616579-HP_0000006-GENCC_100001	HGNC:12856	YY1	MONDO:0014699	intellectual disability, autosomal dominant 40	OMIM:616579	Neurodevelopmental disorder with hypotonia, impaired language, and dysmorphic features	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:12856	YY1	OMIM:616579	INTELLECTUAL DISABILITY	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:50	-	-	21076407, 28575647	https://www.ebi.ac.uk/gene2phenotype/terminology	792	2020-11-25
GENCC_000112-HGNC_11110-OMIM_135900-HP_0000006-GENCC_100001	HGNC:11110	ARID1A	MONDO:0007617	Coffin-Siris syndrome 1	OMIM:135900	Coffin-Siris syndrome 1	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:11110	ARID1A	OMIM:135900	COFFIN-SIRIS SYNDROME	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:50	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	794	2020-11-25
GENCC_000112-HGNC_23204-OMIM_612581-HP_0000006-GENCC_100004	HGNC:23204	KIRREL3	MONDO:0012947	intellectual disability, autosomal dominant 4	OMIM:612581	Intellectual developmental disorder, autosomal dominant 4	GENCC:100004	Limited	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:23204	KIRREL3	OMIM:612581	MENTAL RETARDATION AUTOSOMAL DOMINANT TYPE 4	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100004	Limited	2015-07-22 16:14:51	-	-	19012874	https://www.ebi.ac.uk/gene2phenotype/terminology	815	2020-11-25
GENCC_000112-HGNC_5172-OMIM_146550-HP_0000007-GENCC_100001	HGNC:5172	HR	MONDO:0007806	hypotrichosis 4	OMIM:146550	Hypotrichosis 4	GENCC:100001	Definitive	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:5172	HR	OMIM:146550	ALOPECIA UNIVERSALIS	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:52	-	-	19897589, 17680008, 10777357	https://www.ebi.ac.uk/gene2phenotype/terminology	830	2020-11-25
GENCC_000112-HGNC_5961-OMIM_300301-HP_0001419-GENCC_100001	HGNC:5961	IKBKG	MONDO:0010295	anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome	OMIM:300301	OMIM:300301	GENCC:100001	Definitive	HP:0001419	X-linked recessive	GENCC:000112	TGMI|G2P	HGNC:5961	IKBKG	OMIM:300301	ECTODERMAL DYSPLASIA ANHIDROTIC WITH IMMUNODEFICIENCY-OSTEOPETROSIS-LYMPHEDEMA	HP:0001419	X-linked recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:52	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	833	2020-11-25
GENCC_000112-HGNC_25302-OMIM_607426-HP_0000007-GENCC_100001	HGNC:25302	COQ9	MONDO:0011829	coenzyme Q10 deficiency, primary, 1	OMIM:607426	Coenzyme Q10 deficiency, primary, 1	GENCC:100001	Definitive	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:25302	COQ9	OMIM:607426	COENZYME Q10 DEFICIENCY	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:53	-	-	19375058	https://www.ebi.ac.uk/gene2phenotype/terminology	855	2020-11-25
GENCC_000112-HGNC_7707-OMIM_256000-HP_0000007-GENCC_100001	HGNC:7707	NDUFS1	MONDO:0009723	Leigh syndrome	OMIM:256000	OMIM:256000	GENCC:100001	Definitive	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:7707	NDUFS1	OMIM:256000	LEIGH SYNDROME	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:53	-	-	-	https://www.ebi.ac.uk/gene2phenotype/terminology	862	2020-11-25
GENCC_000112-HGNC_14198-OMIM_252010-HP_0000007-GENCC_100001	HGNC:14198	ELAC2	MONDO:0009640	mitochondrial complex I deficiency, nuclear type	OMIM:252010	Mitochondrial complex I deficiency, nuclear type 1	GENCC:100001	Definitive	HP:0000007	Autosomal recessive	GENCC:000112	TGMI|G2P	HGNC:14198	ELAC2	OMIM:252010	INFANTILE HYPERTROPHIC CARDIOMYOPATHY, LACTIC ACIDOSIS, AND ISOLATED COMPLEX I DEFICIENCY	HP:0000007	Autosomal recessive inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:55	-	-	23849775, 27769300	https://www.ebi.ac.uk/gene2phenotype/terminology	893	2020-11-25
GENCC_000112-HGNC_3808-OMIM_107250-HP_0000006-GENCC_100001	HGNC:3808	FOXE3	MONDO:0007138	anterior segment dysgenesis 1	OMIM:107250	Anterior segment dysgenesis 1, multiple subtypes	GENCC:100001	Definitive	HP:0000006	Autosomal dominant	GENCC:000112	TGMI|G2P	HGNC:3808	FOXE3	OMIM:107250	ANTERIOR SEGMENT MESENCHYMAL DYSGENESIS	HP:0000006	Autosomal dominant inheritance	GENCC:000112	-	GENCC:100001	Definitive	2015-07-22 16:14:55	-	-	3550563, 11159941, 6801987	https://www.ebi.ac.uk/gene2phenotype/terminology	899	2020-11-25
